Dataset,"#TrainingRelease",%Training,%DefectiveInTraining,%DefectiveInTesting,Classifier,Sampling,FeatureSelection,TP,FP,TN,FN,FPRate,TNRate,FNRate,Precision,Recall,ROCArea,Kappa
SYNCOPE,2,5.14440855685063,2.1838034576888083,1.9891500904159132,IBk,overSampling,Yes,0.0,2.0,540.0,11.0,0.0036900369003690036,0.996309963099631,1.0,0.0,0.0,0.39449849043944984,-0.006158152554232121
SYNCOPE,2,5.14440855685063,2.1838034576888083,1.9891500904159132,IBk,smote,No,11.0,0.0,542.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
SYNCOPE,2,5.14440855685063,2.1838034576888083,1.9891500904159132,IBk,smote,Yes,0.0,2.0,540.0,11.0,0.0036900369003690036,0.996309963099631,1.0,0.0,0.0,0.3929050654142905,-0.006158152554232121
SYNCOPE,3,7.732996302017507,2.11864406779661,1.9891500904159132,NaiveBayes,noSampling,No,1.0,1.0,541.0,10.0,0.0018450184501845018,0.9981549815498155,0.9090909090909091,0.5,0.09090909090909091,0.9495135860449514,0.1486354093771871
SYNCOPE,3,7.732996302017507,2.11864406779661,1.9891500904159132,NaiveBayes,noSampling,Yes,0.0,0.0,542.0,11.0,0.0,1.0,1.0,0.0,0.0,0.5867997316336799,0.0
SYNCOPE,3,7.732996302017507,2.11864406779661,1.9891500904159132,NaiveBayes,underSampling,No,3.0,11.0,531.0,8.0,0.02029520295202952,0.9797047970479705,0.7272727272727273,0.21428571428571427,0.2727272727272727,0.9201610197920161,0.22268254790264028
SYNCOPE,3,7.732996302017507,2.11864406779661,1.9891500904159132,NaiveBayes,underSampling,Yes,0.0,0.0,542.0,11.0,0.0,1.0,1.0,0.0,0.0,0.5879738342837973,0.0
SYNCOPE,3,7.732996302017507,2.11864406779661,1.9891500904159132,NaiveBayes,overSampling,No,3.0,4.0,538.0,8.0,0.007380073800738007,0.992619926199262,0.7272727272727273,0.42857142857142855,0.2727272727272727,0.9716538074471653,0.3228571428571421
SYNCOPE,3,7.732996302017507,2.11864406779661,1.9891500904159132,NaiveBayes,overSampling,Yes,0.0,0.0,542.0,11.0,0.0,1.0,1.0,0.0,0.0,0.5866320026836632,0.0
SYNCOPE,3,7.732996302017507,2.11864406779661,1.9891500904159132,NaiveBayes,smote,No,2.0,2.0,540.0,9.0,0.0036900369003690036,0.996309963099631,0.8181818181818182,0.5,0.18181818181818182,0.9486749412948675,0.25880346046058283
SYNCOPE,3,7.732996302017507,2.11864406779661,1.9891500904159132,NaiveBayes,smote,Yes,0.0,0.0,542.0,11.0,0.0,1.0,1.0,0.0,0.0,0.5867997316336799,0.0
SYNCOPE,3,7.732996302017507,2.11864406779661,1.9891500904159132,RandomForest,noSampling,No,11.0,0.0,542.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
SYNCOPE,3,7.732996302017507,2.11864406779661,1.9891500904159132,RandomForest,noSampling,Yes,0.0,0.0,542.0,11.0,0.0,1.0,1.0,0.0,0.0,0.40883931566588394,0.0
SYNCOPE,3,7.732996302017507,2.11864406779661,1.9891500904159132,RandomForest,underSampling,No,11.0,152.0,390.0,0.0,0.28044280442804426,0.7195571955719557,0.0,0.06748466257668712,1.0,1.0,0.09262057947234345
SYNCOPE,3,7.732996302017507,2.11864406779661,1.9891500904159132,RandomForest,underSampling,Yes,1.0,4.0,538.0,10.0,0.007380073800738007,0.992619926199262,0.9090909090909091,0.2,0.09090909090909091,0.49563904729956393,0.11398489356832248
SYNCOPE,3,7.732996302017507,2.11864406779661,1.9891500904159132,RandomForest,overSampling,No,11.0,2.0,540.0,0.0,0.0036900369003690036,0.996309963099631,0.0,0.8461538461538461,1.0,1.0,0.9148313568458346
SYNCOPE,3,7.732996302017507,2.11864406779661,1.9891500904159132,RandomForest,overSampling,Yes,0.0,0.0,542.0,11.0,0.0,1.0,1.0,0.0,0.0,0.41303253941630325,0.0
SYNCOPE,3,7.732996302017507,2.11864406779661,1.9891500904159132,RandomForest,smote,No,11.0,0.0,542.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
SYNCOPE,3,7.732996302017507,2.11864406779661,1.9891500904159132,RandomForest,smote,Yes,0.0,0.0,542.0,11.0,0.0,1.0,1.0,0.0,0.0,0.49731633679973164,0.0
SYNCOPE,3,7.732996302017507,2.11864406779661,1.9891500904159132,IBk,noSampling,No,11.0,0.0,542.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
SYNCOPE,3,7.732996302017507,2.11864406779661,1.9891500904159132,IBk,noSampling,Yes,0.0,0.0,542.0,11.0,0.0,1.0,1.0,0.0,0.0,0.41370345521637036,0.0
SYNCOPE,3,7.732996302017507,2.11864406779661,1.9891500904159132,IBk,underSampling,No,11.0,193.0,349.0,0.0,0.35608856088560886,0.6439114391143912,0.0,0.05392156862745098,1.0,0.8219557195571956,0.06711127815605678
SYNCOPE,3,7.732996302017507,2.11864406779661,1.9891500904159132,IBk,underSampling,Yes,0.0,4.0,538.0,11.0,0.007380073800738007,0.992619926199262,1.0,0.0,0.0,0.4069942972156994,-0.010722553917384792
SYNCOPE,3,7.732996302017507,2.11864406779661,1.9891500904159132,IBk,overSampling,No,11.0,2.0,540.0,0.0,0.0036900369003690036,0.996309963099631,0.0,0.8461538461538461,1.0,0.9967292854746729,0.9148313568458346
SYNCOPE,3,7.732996302017507,2.11864406779661,1.9891500904159132,IBk,overSampling,Yes,0.0,0.0,542.0,11.0,0.0,1.0,1.0,0.0,0.0,0.41370345521637036,0.0
SYNCOPE,3,7.732996302017507,2.11864406779661,1.9891500904159132,IBk,smote,No,11.0,0.0,542.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
SYNCOPE,3,7.732996302017507,2.11864406779661,1.9891500904159132,IBk,smote,Yes,0.0,0.0,542.0,11.0,0.0,1.0,1.0,0.0,0.0,0.41370345521637036,0.0
SYNCOPE,4,10.321584047184384,2.0861678004535147,2.276707530647986,NaiveBayes,noSampling,No,2.0,9.0,549.0,11.0,0.016129032258064516,0.9838709677419355,0.8461538461538461,0.18181818181818182,0.15384615384615385,0.8831679073614558,0.14890445669995567
SYNCOPE,4,10.321584047184384,2.0861678004535147,2.276707530647986,NaiveBayes,noSampling,Yes,2.0,9.0,549.0,11.0,0.016129032258064516,0.9838709677419355,0.8461538461538461,0.18181818181818182,0.15384615384615385,0.727253928866832,0.14890445669995567
SYNCOPE,4,10.321584047184384,2.0861678004535147,2.276707530647986,NaiveBayes,underSampling,No,3.0,21.0,537.0,10.0,0.03763440860215054,0.9623655913978495,0.7692307692307693,0.125,0.23076923076923078,0.8496002205679625,0.1366629273764817
SYNCOPE,4,10.321584047184384,2.0861678004535147,2.276707530647986,NaiveBayes,underSampling,Yes,5.0,21.0,537.0,8.0,0.03763440860215054,0.9623655913978495,0.6153846153846154,0.19230769230769232,0.38461538461538464,0.7218086572925283,0.2331311073032939
SYNCOPE,4,10.321584047184384,2.0861678004535147,2.276707530647986,NaiveBayes,overSampling,No,3.0,15.0,543.0,10.0,0.026881720430107527,0.9731182795698925,0.7692307692307693,0.16666666666666666,0.23076923076923078,0.916115246760408,0.1716474206464342
SYNCOPE,4,10.321584047184384,2.0861678004535147,2.276707530647986,NaiveBayes,overSampling,Yes,5.0,22.0,536.0,8.0,0.03942652329749104,0.9605734767025089,0.6153846153846154,0.18518518518518517,0.38461538461538464,0.7277364212848084,0.22621736380883528
SYNCOPE,4,10.321584047184384,2.0861678004535147,2.276707530647986,NaiveBayes,smote,No,3.0,13.0,545.0,10.0,0.023297491039426525,0.9767025089605734,0.7692307692307693,0.1875,0.23076923076923078,0.8855114419630549,0.18645852691569248
SYNCOPE,4,10.321584047184384,2.0861678004535147,2.276707530647986,NaiveBayes,smote,Yes,2.0,9.0,549.0,11.0,0.016129032258064516,0.9838709677419355,0.8461538461538461,0.18181818181818182,0.15384615384615385,0.7273228563551144,0.14890445669995567
SYNCOPE,4,10.321584047184384,2.0861678004535147,2.276707530647986,RandomForest,noSampling,No,11.0,0.0,558.0,2.0,0.0,1.0,0.15384615384615385,1.0,0.8461538461538461,0.927488282326992,0.9148904456699967
SYNCOPE,4,10.321584047184384,2.0861678004535147,2.276707530647986,RandomForest,noSampling,Yes,0.0,0.0,558.0,13.0,0.0,1.0,1.0,0.0,0.0,0.6226220016542597,0.0
SYNCOPE,4,10.321584047184384,2.0861678004535147,2.276707530647986,RandomForest,underSampling,No,12.0,201.0,357.0,1.0,0.3602150537634409,0.6397849462365591,0.07692307692307693,0.056338028169014086,0.9230769230769231,0.9481665288116901,0.06611717459597745
SYNCOPE,4,10.321584047184384,2.0861678004535147,2.276707530647986,RandomForest,underSampling,Yes,8.0,199.0,359.0,5.0,0.35663082437275984,0.6433691756272402,0.38461538461538464,0.03864734299516908,0.6153846153846154,0.7240143369175627,0.031221410868444235
SYNCOPE,4,10.321584047184384,2.0861678004535147,2.276707530647986,RandomForest,overSampling,No,11.0,7.0,551.0,2.0,0.012544802867383513,0.9874551971326165,0.15384615384615385,0.6111111111111112,0.8461538461538461,0.9496829335539013,0.7017930714327159
SYNCOPE,4,10.321584047184384,2.0861678004535147,2.276707530647986,RandomForest,overSampling,Yes,0.0,25.0,533.0,13.0,0.044802867383512544,0.9551971326164874,1.0,0.0,0.0,0.35311552247036115,-0.030881793994678018
SYNCOPE,4,10.321584047184384,2.0861678004535147,2.276707530647986,RandomForest,smote,No,11.0,0.0,558.0,2.0,0.0,1.0,0.15384615384615385,1.0,0.8461538461538461,0.9476151089054314,0.9148904456699967
SYNCOPE,4,10.321584047184384,2.0861678004535147,2.276707530647986,RandomForest,smote,Yes,1.0,8.0,550.0,12.0,0.014336917562724014,0.985663082437276,0.9230769230769231,0.1111111111111111,0.07692307692307693,0.3870278467052661,0.07365347177157747
SYNCOPE,4,10.321584047184384,2.0861678004535147,2.276707530647986,IBk,noSampling,No,11.0,0.0,558.0,2.0,0.0,1.0,0.15384615384615385,1.0,0.8461538461538461,0.9230769230769231,0.9148904456699967
SYNCOPE,4,10.321584047184384,2.0861678004535147,2.276707530647986,IBk,noSampling,Yes,1.0,10.0,548.0,12.0,0.017921146953405017,0.982078853046595,0.9230769230769231,0.09090909090909091,0.07692307692307693,0.4037772263578715,0.06379490236995232
SYNCOPE,4,10.321584047184384,2.0861678004535147,2.276707530647986,IBk,underSampling,No,12.0,190.0,368.0,1.0,0.34050179211469533,0.6594982078853047,0.07692307692307693,0.0594059405940594,0.9230769230769231,0.7972842569616763,0.0719239573493995
SYNCOPE,4,10.321584047184384,2.0861678004535147,2.276707530647986,IBk,underSampling,Yes,5.0,71.0,487.0,8.0,0.12724014336917563,0.8727598566308243,0.6153846153846154,0.06578947368421052,0.38461538461538464,0.5090295009649848,0.07644903056732774
