TicketID,OpeningVersion,FixedVersion,InjectedVersion
SYNCOPE-373,1.1.2,1.1.2,1.1.1
SYNCOPE-372,1.1.2,1.1.2,1.1.1
SYNCOPE-371,1.1.2,1.1.2,1.1.1
SYNCOPE-369,1.1.2,1.1.2,1.1.1
SYNCOPE-368,1.1.2,1.1.2,1.1.0
SYNCOPE-400,1.1.3,1.1.3,1.0.8
SYNCOPE-399,1.1.3,1.1.3,1.1.2
SYNCOPE-398,1.1.3,1.1.3,1.1.2
SYNCOPE-397,1.1.3,1.1.3,1.1.2
SYNCOPE-396,1.1.3,1.1.3,1.1.3
SYNCOPE-394,1.1.3,1.1.3,1.1.2
SYNCOPE-370,1.1.2,1.1.3,1.1.1
SYNCOPE-418,1.1.4,1.1.4,1.1.3
SYNCOPE-417,1.1.4,1.1.4,1.1.3
SYNCOPE-414,1.1.4,1.1.4,1.1.4
SYNCOPE-412,1.1.4,1.1.4,1.1.3
SYNCOPE-404,1.1.4,1.1.4,1.1.0
SYNCOPE-285,1.0.6,1.1.4,1.0.0-incubating,stimato
SYNCOPE-440,1.1.5,1.1.5,1.1.3
SYNCOPE-437,1.1.5,1.1.5,1.1.4
SYNCOPE-436,1.1.5,1.1.5,1.1.4
SYNCOPE-435,1.1.5,1.1.5,1.1.4
SYNCOPE-434,1.1.5,1.1.5,1.1.4
SYNCOPE-433,1.1.5,1.1.5,1.1.4
SYNCOPE-426,1.1.5,1.1.5,1.1.4
SYNCOPE-423,1.1.5,1.1.5,1.1.5
SYNCOPE-419,1.1.5,1.1.5,1.1.4
SYNCOPE-477,1.1.6,1.1.6,1.1.5
SYNCOPE-476,1.1.6,1.1.6,1.1.5
SYNCOPE-475,1.1.6,1.1.6,1.1.5
SYNCOPE-474,1.1.6,1.1.6,1.1.5
SYNCOPE-466,1.1.6,1.1.6,1.1.5
SYNCOPE-465,1.1.6,1.1.6,1.1.6
SYNCOPE-462,1.1.6,1.1.6,1.1.5
SYNCOPE-457,1.1.6,1.1.6,1.1.5
SYNCOPE-456,1.1.6,1.1.6,1.1.6
SYNCOPE-455,1.1.6,1.1.6,1.1.5
SYNCOPE-454,1.1.6,1.1.6,1.1.5
SYNCOPE-453,1.1.6,1.1.6,1.1.5
SYNCOPE-452,1.1.6,1.1.6,1.1.5
SYNCOPE-349,1.1.0,1.1.6,1.0.7
SYNCOPE-484,1.1.7,1.1.7,1.1.6
SYNCOPE-482,1.1.7,1.1.7,1.1.7
SYNCOPE-515,1.1.8,1.1.8,1.1.7
SYNCOPE-514,1.1.8,1.1.8,1.1.8
SYNCOPE-512,1.1.8,1.1.8,1.1.8
SYNCOPE-510,1.1.8,1.1.8,1.1.8
SYNCOPE-509,1.1.8,1.1.8,1.1.8
SYNCOPE-506,1.1.8,1.1.8,1.1.8
SYNCOPE-504,1.1.8,1.1.8,1.1.7
SYNCOPE-501,1.1.8,1.1.8,1.1.8
SYNCOPE-500,1.1.8,1.1.8,1.1.8
SYNCOPE-499,1.1.8,1.1.8,1.1.7
SYNCOPE-498,1.1.8,1.1.8,1.1.8,stimato
SYNCOPE-497,1.1.8,1.1.8,1.1.8,stimato
SYNCOPE-495,1.1.8,1.1.8,1.1.8
SYNCOPE-490,1.1.8,1.1.8,1.1.8
SYNCOPE-489,1.1.8,1.1.8,1.1.8
SYNCOPE-483,1.1.7,1.1.8,1.1.7
SYNCOPE-459,1.1.6,1.1.8,1.1.4
SYNCOPE-458,1.1.6,1.1.8,1.1.5
SYNCOPE-546,1.2.0-M1,1.2.0-M1,1.2.0-M1,stimato
SYNCOPE-545,1.2.0-M1,1.2.0-M1,1.2.0-M1,stimato
SYNCOPE-540,1.2.0-M1,1.2.0-M1,1.2.0-M1
SYNCOPE-539,1.2.0-M1,1.2.0-M1,1.2.0-M1
