Version,File,NR,LOC,LOC_touched,LOC_added,MAX_LOC_added,AVG_LOC_added,Churn,MAX_Churn,AVG_Churn,NAuth,ChgSetSize,MAX_ChgSetSize,AVG_ChgSetSize,AgeInWeeks,AgeWeighted,NFix,Bugged
1,console/src/main/java/org/apache/syncope/console/commons/SearchCondWrapper.java,1,113,113,113,113,113,113,113,113,1,1096,1096,1096,15,15,0,no
1,console/src/main/java/org/apache/syncope/console/commons/SelectChoiceRenderer.java,1,40,40,40,40,40,40,40,40,1,1096,1096,1096,15,15,0,no
1,console/src/main/java/org/apache/syncope/console/commons/SelectOption.java,1,72,72,72,72,72,72,72,72,1,1096,1096,1096,15,15,0,no
1,console/src/main/java/org/apache/syncope/console/commons/SortableDataProviderComparator.java,1,66,66,66,66,66,66,66,66,1,1096,1096,1096,15,15,0,no
1,console/src/main/java/org/apache/syncope/console/commons/SortableUserProviderComparator.java,1,77,77,77,77,77,77,77,77,1,1096,1096,1096,15,15,0,no
1,console/src/main/java/org/apache/syncope/console/commons/StatusBean.java,1,59,59,59,59,59,59,59,59,1,1096,1096,1096,15,15,0,no
1,console/src/main/java/org/apache/syncope/console/commons/StatusUtils.java,1,184,184,184,184,184,184,184,184,1,1096,1096,1096,15,15,0,no
1,console/src/main/java/org/apache/syncope/console/commons/UserDataProvider.java,1,95,95,95,95,95,95,95,95,1,1096,1096,1096,15,15,0,no
1,console/src/main/java/org/apache/syncope/console/commons/XMLRolesReader.java,1,102,102,102,102,102,102,102,102,1,1096,1096,1096,15,15,0,no
1,console/src/main/java/org/apache/syncope/console/markup/html/CrontabContainer.java,1,183,183,183,183,183,183,183,183,1,1096,1096,1096,15,15,0,no
1,console/src/main/java/org/apache/syncope/console/pages/AbstractSchedTaskModalPage.java,1,119,119,119,119,119,119,119,119,1,1096,1096,1096,15,15,0,no
1,console/src/main/java/org/apache/syncope/console/pages/AbstractSchemaModalPage.java,1,50,50,50,50,50,50,50,50,1,1096,1096,1096,15,15,0,no
1,console/src/main/java/org/apache/syncope/console/pages/ApprovalModalPage.java,1,211,211,211,211,211,211,211,211,1,1096,1096,1096,15,15,0,no
1,console/src/main/java/org/apache/syncope/console/pages/BaseModalPage.java,1,54,54,54,54,54,54,54,54,1,1096,1096,1096,15,15,0,no
1,console/src/main/java/org/apache/syncope/console/pages/BasePage.java,3,221,235,228,221,76,221,221,74,2,1123,1096,374,15,14,1,no
1,console/src/main/java/org/apache/syncope/console/pages/Configuration.java,3,705,757,731,711,244,705,711,235,2,1123,1096,374,15,14,2,no
1,console/src/main/java/org/apache/syncope/console/pages/ConfigurationModalPage.java,1,116,116,116,116,116,116,116,116,1,1096,1096,1096,15,15,0,no
1,console/src/main/java/org/apache/syncope/console/pages/ConnectorModalPage.java,2,443,479,461,436,231,443,436,222,2,1103,1096,552,15,14,0,no
1,console/src/main/java/org/apache/syncope/console/pages/DerivedSchemaModalPage.java,1,119,119,119,119,119,119,119,119,1,1096,1096,1096,15,15,0,no
1,console/src/main/java/org/apache/syncope/console/pages/DisplayAttributesModalPage.java,3,311,341,326,304,109,311,304,104,1,1102,1096,367,15,13,2,no
1,console/src/main/java/org/apache/syncope/console/pages/EditUserModalPage.java,1,90,90,90,90,90,90,90,90,1,1096,1096,1096,15,15,0,no
1,console/src/main/java/org/apache/syncope/console/pages/ErrorPage.java,1,41,41,41,41,41,41,41,41,1,1096,1096,1096,15,15,0,no
1,console/src/main/java/org/apache/syncope/console/pages/ExecMessageModalPage.java,1,32,32,32,32,32,32,32,32,1,1096,1096,1096,15,15,0,no
1,console/src/main/java/org/apache/syncope/console/pages/HomePage.java,1,33,33,33,33,33,33,33,33,1,1096,1096,1096,15,15,0,no
1,console/src/main/java/org/apache/syncope/console/pages/Login.java,3,272,312,292,271,97,272,271,91,2,1132,1096,377,15,14,2,no
1,console/src/main/java/org/apache/syncope/console/pages/Logout.java,3,48,60,54,41,18,48,41,16,2,1132,1096,377,15,12,2,no
1,console/src/main/java/org/apache/syncope/console/pages/MembershipModalPage.java,2,96,108,102,102,51,96,102,48,1,1097,1096,549,15,15,1,no
1,console/src/main/java/org/apache/syncope/console/pages/NotificationModalPage.java,2,259,267,263,209,132,259,209,130,2,1102,1096,551,15,14,1,no
