TicketID,OpeningVersion,FixedVersion,InjectedVersion
BOOKKEEPER-511,4.1.1,4.1.1,4.1.1,stimato
BOOKKEEPER-509,4.1.1,4.1.1,4.1.1,stimato
BOOKKEEPER-507,4.1.1,4.1.1,4.1.1,stimato
BOOKKEEPER-504,4.1.1,4.1.1,4.1.1,stimato
BOOKKEEPER-503,4.1.1,4.1.1,4.1.1,stimato
BOOKKEEPER-500,4.1.1,4.1.1,4.1.0
BOOKKEEPER-498,4.1.1,4.1.1,4.1.1,stimato
BOOKKEEPER-497,4.1.1,4.1.1,4.1.1,stimato
BOOKKEEPER-493,4.1.1,4.1.1,4.1.1,stimato
BOOKKEEPER-485,4.1.1,4.1.1,4.1.1,stimato
BOOKKEEPER-484,4.1.1,4.1.1,4.1.1,stimato
BOOKKEEPER-483,4.1.1,4.1.1,4.1.1,stimato
BOOKKEEPER-482,4.1.1,4.1.1,4.1.1,stimato
BOOKKEEPER-481,4.1.1,4.1.1,4.1.1,stimato
BOOKKEEPER-480,4.1.1,4.1.1,4.1.1,stimato
BOOKKEEPER-479,4.1.1,4.1.1,4.1.1,stimato
BOOKKEEPER-477,4.1.1,4.1.1,4.1.1,stimato
BOOKKEEPER-475,4.1.1,4.1.1,4.1.1,stimato
BOOKKEEPER-474,4.1.1,4.1.1,4.1.1,stimato
BOOKKEEPER-471,4.1.1,4.1.1,4.1.1,stimato
BOOKKEEPER-470,4.1.1,4.1.1,4.1.1,stimato
BOOKKEEPER-469,4.1.1,4.1.1,4.1.1,stimato
BOOKKEEPER-468,4.1.1,4.1.1,4.1.1,stimato
BOOKKEEPER-467,4.1.1,4.1.1,4.1.1,stimato
BOOKKEEPER-466,4.1.1,4.1.1,4.1.1,stimato
BOOKKEEPER-465,4.1.1,4.1.1,4.1.1,stimato
BOOKKEEPER-461,4.1.1,4.1.1,4.1.1,stimato
BOOKKEEPER-458,4.1.1,4.1.1,4.1.1,stimato
BOOKKEEPER-457,4.1.1,4.1.1,4.1.0
BOOKKEEPER-454,4.1.1,4.1.1,4.1.1,stimato
BOOKKEEPER-447,4.1.1,4.1.1,4.1.1,stimato
