Version,File,NR,LOC,LOC_touched,LOC_added,MAX_LOC_added,AVG_LOC_added,Churn,MAX_Churn,AVG_Churn,NAuth,ChgSetSize,MAX_ChgSetSize,AVG_ChgSetSize,AgeInWeeks,AgeWeighted,NFix,Bugged
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/MathUtils.java,2,38,48,43,38,22,38,38,19,2,378,207,189,36,31,0,yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/OrderedSafeExecutor.java,2,98,106,102,98,51,98,98,49,2,378,207,189,36,34,0,no
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/SafeRunnable.java,3,39,59,49,38,16,39,38,13,2,471,207,157,36,27,0,no
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/StringUtils.java,3,69,127,98,94,33,69,94,23,3,411,207,137,36,28,1,no
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/ZkUtils.java,1,94,94,94,94,94,94,94,94,1,33,33,33,1,1,1,yes
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/BookieLayoutVersionTest.java,3,261,321,291,246,97,261,246,87,1,45,39,15,3,3,1,yes
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/EntryLogTest.java,1,90,90,90,90,90,90,90,90,1,2,2,2,1,1,1,yes
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/client/BookKeeperTestClient.java,4,71,77,74,61,19,71,61,18,2,156,93,39,16,13,1,no
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/client/BookieRecoveryTest.java,4,10,60,35,15,9,10,8,3,2,192,93,48,36,2,2,yes
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/client/LedgerCacheTest.java,3,7,17,12,8,4,7,6,2,2,165,93,55,26,2,1,no
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/client/TestFencing.java,3,345,351,348,343,116,345,343,115,1,70,39,23,3,3,1,yes
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/HierarchicalAsyncLedgerOpsTest.java,1,47,47,47,47,47,47,47,47,1,33,33,33,1,1,1,no
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/HierarchicalBookieFailureTest.java,1,47,47,47,47,47,47,47,47,1,33,33,33,1,1,1,no
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/HierarchicalBookieReadWriteTest.java,1,47,47,47,47,47,47,47,47,1,33,33,33,1,1,1,no
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/HierarchicalBookieRecoveryTest.java,1,46,46,46,46,46,46,46,46,1,33,33,33,1,1,1,no
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/HierarchicalLedgerDeleteTest.java,1,47,47,47,47,47,47,47,47,1,33,33,33,1,1,1,no
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/LedgerLayoutTest.java,1,136,136,136,136,136,136,136,136,1,33,33,33,1,1,1,no
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/TestLedgerManager.java,1,261,261,261,261,261,261,261,261,1,33,33,33,1,1,1,no
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/proto/TestProtoVersions.java,2,113,115,114,113,57,113,113,57,1,34,27,17,5,5,0,no
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/AsyncLedgerOpsTest.java,4,258,298,278,256,70,258,256,65,3,479,207,120,36,32,1,no
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BaseTestCase.java,11,81,225,153,43,14,81,34,7,3,407,171,37,36,8,4,yes
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookieClientTest.java,6,242,308,275,232,46,242,232,40,3,544,207,91,36,28,0,yes
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookieFailureTest.java,6,305,373,339,305,57,305,305,51,3,534,207,89,36,32,1,yes
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookieJournalRollingTest.java,3,219,275,247,222,82,219,222,73,2,46,39,15,3,3,1,yes
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookieReadWriteTest.java,10,1040,1354,1197,720,120,1040,720,104,3,553,207,55,36,26,3,yes
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookieZKExpireTest.java,3,92,106,99,90,33,92,90,31,3,211,171,70,15,14,1,yes
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/CloseTest.java,3,75,91,83,74,28,75,74,25,2,471,207,157,36,31,0,yes
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/ConcurrentLedgerTest.java,6,188,218,203,178,34,188,178,31,3,552,207,92,36,32,1,no
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/ConditionalSetTest.java,3,118,126,122,116,41,118,116,39,2,140,93,47,7,7,1,no
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/ConfigurationTest.java,1,55,55,55,55,55,55,55,55,1,39,39,39,2,2,0,yes
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/LedgerDeleteTest.java,4,154,200,177,163,44,154,163,39,3,510,207,128,36,31,0,no
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/LedgerRecoveryTest.java,4,114,144,129,88,32,114,88,29,3,473,207,118,36,25,0,yes
