Dataset,"#TrainingRelease",%Training,%DefectiveInTraining,%DefectiveInTesting,Classifier,Sampling,FeatureSelection,TP,FP,TN,FN,FPRate,TNRate,FNRate,Precision,Recall,ROCArea,Kappa
BOOKKEEPER,2,15.563760295370631,31.751824817518248,4.783599088838269,IBk,noSampling,No,11.0,125.0,293.0,10.0,0.29904306220095694,0.7009569377990431,0.47619047619047616,0.08088235294117647,0.5238095238095238,0.6123832308042835,0.06242584360317015
BOOKKEEPER,2,15.563760295370631,31.751824817518248,4.783599088838269,IBk,noSampling,Yes,13.0,138.0,280.0,8.0,0.33014354066985646,0.6698564593301436,0.38095238095238093,0.08609271523178808,0.6190476190476191,0.6684324447482343,0.0733308272850823
BOOKKEEPER,2,15.563760295370631,31.751824817518248,4.783599088838269,IBk,underSampling,No,13.0,174.0,244.0,8.0,0.41626794258373206,0.583732057416268,0.38095238095238093,0.06951871657754011,0.6190476190476191,0.6023012075643654,0.042656186345227456
BOOKKEEPER,2,15.563760295370631,31.751824817518248,4.783599088838269,IBk,underSampling,Yes,17.0,178.0,240.0,4.0,0.4258373205741627,0.5741626794258373,0.19047619047619047,0.08717948717948718,0.8095238095238095,0.6941786283891547,0.07775238359073798
BOOKKEEPER,2,15.563760295370631,31.751824817518248,4.783599088838269,IBk,overSampling,No,11.0,147.0,271.0,10.0,0.35167464114832536,0.6483253588516746,0.47619047619047616,0.06962025316455696,0.5238095238095238,0.6380724538619276,0.042004308847035876
BOOKKEEPER,2,15.563760295370631,31.751824817518248,4.783599088838269,IBk,overSampling,Yes,14.0,161.0,257.0,7.0,0.38516746411483255,0.6148325358851675,0.3333333333333333,0.08,0.6666666666666666,0.666723627249943,0.0628002134851452
BOOKKEEPER,2,15.563760295370631,31.751824817518248,4.783599088838269,IBk,smote,No,11.0,136.0,282.0,10.0,0.3253588516746411,0.6746411483253588,0.47619047619047616,0.07482993197278912,0.5238095238095238,0.5992253360674413,0.051555239870963804
BOOKKEEPER,2,15.563760295370631,31.751824817518248,4.783599088838269,IBk,smote,Yes,13.0,149.0,269.0,8.0,0.35645933014354064,0.6435406698564593,0.38095238095238093,0.08024691358024691,0.6190476190476191,0.6578947368421053,0.06269294058449956
BOOKKEEPER,3,28.031809145129227,19.756838905775076,10.69609507640068,NaiveBayes,noSampling,No,0.0,26.0,500.0,63.0,0.049429657794676805,0.9505703422053232,1.0,0.0,0.0,0.5853400929446557,-0.06665988401668542
BOOKKEEPER,3,28.031809145129227,19.756838905775076,10.69609507640068,NaiveBayes,noSampling,Yes,1.0,1.0,525.0,62.0,0.0019011406844106464,0.9980988593155894,0.9841269841269841,0.5,0.015873015873015872,0.7351077313054499,0.02434727736439382
